sess,page_end,leg,number,page_start,session_date,pub_date,id
2,46,1,2,1,2012-09-20 00:00:00,2012-09-21 00:00:00,l01s02n002
2,59,1,3,1,2012-09-21 00:00:00,2012-09-22 00:00:00,l01s02n003
2,51,1,4,1,2012-09-26 00:00:00,2012-09-27 00:00:00,l01s02n004
2,50,1,5,1,2012-09-27 00:00:00,2012-09-28 00:00:00,l01s02n005
2,46,1,6,1,2012-09-28 00:00:00,2012-09-29 00:00:00,l01s02n006
2,64,1,7,1,2012-10-03 00:00:00,2012-10-04 00:00:00,l01s02n007
2,74,1,8,1,2012-10-04 00:00:00,2012-10-06 00:00:00,l01s02n008
2,59,1,9,1,2012-10-10 00:00:00,2012-10-11 00:00:00,l01s02n009
2,80,1,10,1,2012-10-11 00:00:00,2012-10-12 00:00:00,l01s02n010
2,56,1,11,1,2012-10-12 00:00:00,2012-10-13 00:00:00,l01s02n011
2,56,1,12,1,2012-10-17 00:00:00,2012-10-18 00:00:00,l01s02n012
2,48,1,13,1,2012-10-18 00:00:00,2012-10-19 00:00:00,l01s02n013
2,44,1,14,1,2012-10-19 00:00:00,2012-10-20 00:00:00,l01s02n014
2,42,1,15,1,2012-10-24 00:00:00,2012-10-25 00:00:00,l01s02n015
2,57,1,16,1,2012-10-25 00:00:00,2012-10-26 00:00:00,l01s02n016
2,77,1,17,1,2012-10-26 00:00:00,2012-10-27 00:00:00,l01s02n017
2,113,1,18,1,2012-10-30 00:00:00,2012-10-31 00:00:00,l01s02n018
2,87,1,19,1,2012-10-31 00:00:00,2012-11-02 00:00:00,l01s02n019
2,32,1,20,1,2012-11-21 00:00:00,2012-11-22 00:00:00,l01s02n020
2,53,1,21,1,2012-11-22 00:00:00,2012-11-23 00:00:00,l01s02n021
2,68,1,22,1,2012-11-23 00:00:00,2012-11-24 00:00:00,l01s02n022
2,81,1,23,1,2012-11-26 00:00:00,2012-11-27 00:00:00,l01s02n023
2,62,1,24,1,2012-11-27 00:00:00,2012-11-28 00:00:00,l01s02n024
2,66,1,25,1,2012-11-29 00:00:00,2012-11-30 00:00:00,l01s02n025
2,66,1,26,1,2012-12-05 00:00:00,2012-12-06 00:00:00,l01s02n026
2,39,1,27,1,2012-12-06 00:00:00,2012-12-07 00:00:00,l01s02n027
2,70,1,28,1,2012-12-07 00:00:00,2012-12-10 00:00:00,l01s02n028
2,47,1,29,1,2012-12-12 00:00:00,2012-12-13 00:00:00,l01s02n029
2,48,1,30,1,2012-12-13 00:00:00,2012-12-14 00:00:00,l01s02n030
2,63,1,31,1,2012-12-14 00:00:00,2012-12-15 00:00:00,l01s02n031
2,65,1,32,1,2012-12-19 00:00:00,2012-12-20 00:00:00,l01s02n032
2,46,1,33,1,2012-12-20 00:00:00,2012-12-21 00:00:00,l01s02n033
2,137,1,34,1,2012-12-21 00:00:00,2012-12-22 00:00:00,l01s02n034
2,43,1,35,1,2012-12-27 00:00:00,2012-12-28 00:00:00,l01s02n035
2,59,1,36,1,2013-01-03 00:00:00,2013-01-04 00:00:00,l01s02n036
2,42,1,37,1,2013-01-04 00:00:00,2013-01-05 00:00:00,l01s02n037
2,38,1,38,1,2013-01-09 00:00:00,2013-01-10 00:00:00,l01s02n038
2,41,1,39,1,2013-01-10 00:00:00,2013-01-11 00:00:00,l01s02n039
2,66,1,40,1,2013-01-11 00:00:00,2013-01-12 00:00:00,l01s02n040
2,68,1,41,1,2013-01-16 00:00:00,2013-01-17 00:00:00,l01s02n041
2,38,1,42,1,2013-01-17 00:00:00,2013-01-18 00:00:00,l01s02n042
2,42,1,43,1,2013-01-18 00:00:00,2013-01-19 00:00:00,l01s02n043
2,46,1,44,1,2013-01-23 00:00:00,2013-01-24 00:00:00,l01s02n044
2,53,1,45,1,2013-01-24 00:00:00,2013-01-25 00:00:00,l01s02n045
2,49,1,46,1,2013-01-25 00:00:00,2013-01-26 00:00:00,l01s02n046
2,43,1,47,1,2013-01-30 00:00:00,2013-01-31 00:00:00,l01s02n047
2,65,1,48,1,2013-01-31 00:00:00,2013-02-01 00:00:00,l01s02n048
2,55,1,49,1,2013-02-01 00:00:00,2013-02-02 00:00:00,l01s02n049
2,48,1,50,1,2013-02-06 00:00:00,2013-02-07 00:00:00,l01s02n050
2,55,1,51,1,2013-02-07 00:00:00,2013-02-08 00:00:00,l01s02n051
2,49,1,52,1,2013-02-08 00:00:00,2013-02-09 00:00:00,l01s02n052
2,50,1,53,1,2013-02-13 00:00:00,2013-02-14 00:00:00,l01s02n053
2,49,1,54,1,2013-02-14 00:00:00,2013-02-15 00:00:00,l01s02n054
2,41,1,55,1,2013-02-15 00:00:00,2013-02-16 00:00:00,l01s02n055
2,57,1,56,1,2013-02-20 00:00:00,2013-02-21 00:00:00,l01s02n056
2,38,1,57,1,2013-02-21 00:00:00,2013-02-22 00:00:00,l01s02n057
2,34,1,58,1,2013-02-22 00:00:00,2013-02-23 00:00:00,l01s02n058
2,43,1,59,1,2013-02-27 00:00:00,2013-02-28 00:00:00,l01s02n059
2,53,1,60,1,2013-02-28 00:00:00,2013-03-01 00:00:00,l01s02n060
2,47,1,61,1,2013-03-01 00:00:00,2013-03-02 00:00:00,l01s02n061
2,33,1,62,1,2013-03-06 00:00:00,2013-03-07 00:00:00,l01s02n062
2,74,1,63,1,2013-03-07 00:00:00,2013-03-08 00:00:00,l01s02n063
2,51,1,64,1,2013-03-08 00:00:00,2013-03-09 00:00:00,l01s02n064
2,32,1,65,1,2013-03-13 00:00:00,2013-03-14 00:00:00,l01s02n065
2,48,1,66,1,2013-03-14 00:00:00,2013-03-15 00:00:00,l01s02n066
2,68,1,67,1,2013-03-15 00:00:00,2013-03-16 00:00:00,l01s02n067
2,44,1,68,1,2013-03-20 00:00:00,2013-03-21 00:00:00,l01s02n068
2,52,1,69,1,2013-03-21 00:00:00,2013-03-22 00:00:00,l01s02n069
2,37,1,70,1,2013-03-22 00:00:00,2013-03-23 00:00:00,l01s02n070
2,41,1,71,1,2013-03-27 00:00:00,2013-03-28 00:00:00,l01s02n071
2,47,1,72,1,2013-03-28 00:00:00,2013-03-30 00:00:00,l01s02n072
2,61,1,73,1,2013-04-03 00:00:00,2013-04-04 00:00:00,l01s02n073
2,62,1,74,1,2013-04-04 00:00:00,2013-04-05 00:00:00,l01s02n074
2,35,1,75,1,2013-04-05 00:00:00,2013-04-06 00:00:00,l01s02n075
2,59,1,76,1,2013-04-10 00:00:00,2013-04-11 00:00:00,l01s02n076
2,60,1,77,1,2013-04-11 00:00:00,2013-04-12 00:00:00,l01s02n077
2,44,1,78,1,2013-04-12 00:00:00,2013-04-13 00:00:00,l01s02n078
2,63,1,79,1,2013-04-17 00:00:00,2013-04-18 00:00:00,l01s02n079
2,36,1,80,1,2013-04-18 00:00:00,2013-04-19 00:00:00,l01s02n080
2,55,1,81,1,2013-04-19 00:00:00,2013-04-20 00:00:00,l01s02n081
2,52,1,82,1,2013-04-24 00:00:00,2013-04-26 00:00:00,l01s02n082
2,24,1,83,1,2013-04-25 00:00:00,2013-04-26 00:00:00,l01s02n083
2,39,1,84,1,2013-05-02 00:00:00,2013-05-03 00:00:00,l01s02n084
2,42,1,85,1,2013-05-03 00:00:00,2013-05-04 00:00:00,l01s02n085
2,53,1,86,1,2013-05-08 00:00:00,2013-05-09 00:00:00,l01s02n086
2,28,1,87,1,2013-05-09 00:00:00,2013-05-10 00:00:00,l01s02n087
2,46,1,88,1,2013-05-10 00:00:00,2013-05-11 00:00:00,l01s02n088
2,57,1,89,1,2013-05-15 00:00:00,2013-05-16 00:00:00,l01s02n089
2,70,1,90,1,2013-05-16 00:00:00,2013-05-17 00:00:00,l01s02n090
2,65,1,91,1,2013-05-17 00:00:00,2013-05-18 00:00:00,l01s02n091
2,33,1,92,1,2013-05-22 00:00:00,2013-05-23 00:00:00,l01s02n092
2,51,1,93,1,2013-05-23 00:00:00,2013-05-24 00:00:00,l01s02n093
2,32,1,94,1,2013-05-24 00:00:00,2013-05-25 00:00:00,l01s02n094
2,51,1,95,1,2013-05-29 00:00:00,2013-05-30 00:00:00,l01s02n095
2,54,1,96,1,2013-05-30 00:00:00,2013-05-31 00:00:00,l01s02n096
2,60,1,97,1,2013-05-31 00:00:00,2013-06-01 00:00:00,l01s02n097
2,45,1,98,1,2013-06-05 00:00:00,2013-06-06 00:00:00,l01s02n098
2,74,1,99,1,2013-06-06 00:00:00,2013-06-07 00:00:00,l01s02n099
2,58,1,100,1,2013-06-07 00:00:00,2013-06-08 00:00:00,l01s02n100
2,54,1,101,1,2013-06-12 00:00:00,2013-06-14 00:00:00,l01s02n101
2,39,1,102,1,2013-06-14 00:00:00,2013-06-15 00:00:00,l01s02n102
2,63,1,103,1,2013-06-18 00:00:00,2013-06-19 00:00:00,l01s02n103
2,65,1,104,1,2013-06-19 00:00:00,2013-06-20 00:00:00,l01s02n104
2,41,1,105,1,2013-06-26 00:00:00,2013-06-27 00:00:00,l01s02n105
2,27,1,106,1,2013-06-27 00:00:00,2013-06-28 00:00:00,l01s02n106
2,66,1,107,1,2013-06-28 00:00:00,2013-06-29 00:00:00,l01s02n107
2,44,1,108,1,2013-07-03 00:00:00,2013-07-04 00:00:00,l01s02n108
2,44,1,109,1,2013-07-04 00:00:00,2013-07-05 00:00:00,l01s02n109
2,47,1,110,1,2013-07-05 00:00:00,2013-07-06 00:00:00,l01s02n110
2,35,1,111,1,2013-07-10 00:00:00,2013-07-11 00:00:00,l01s02n111
2,69,1,112,1,2013-07-11 00:00:00,2013-07-12 00:00:00,l01s02n112
2,62,1,113,1,2013-07-12 00:00:00,2013-07-13 00:00:00,l01s02n113
2,54,1,114,1,2013-07-18 00:00:00,2013-07-19 00:00:00,l01s02n114
2,79,1,115,1,2013-07-24 00:00:00,2013-07-25 00:00:00,l01s02n115
2,130,1,116,1,2013-07-29 00:00:00,2013-07-30 00:00:00,l01s02n116
2,43,1,117,1,2013-07-30 00:00:00,2013-07-31 00:00:00,l01s02n117
2,28,1,118,1,2013-09-11 00:00:00,2013-09-12 00:00:00,l01s02n118
3,45,1,1,1,2013-09-16 00:00:00,2013-09-17 00:00:00,l01s03n001
3,32,1,2,1,2013-09-17 00:00:00,2013-09-18 00:00:00,l01s03n002
